,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,8524.0,17048.0,5625.0,17048.0,548.0,1304.0,3821.0,5228.0,247.0,12.0,1191.0,336.0,483.0,11271.0,8686.0,0.0,2252.0,5422.0,4451.0,17048.0,9161.0,17048.0,0.0,16334.0,14060.0,6632.0,16997.0,167.0,373.0,5987.0,0.0,24.0,2694.0,17048.0,17048.0,87.0,8232.0,18.0,88.0,8951.0,17048.0,665.0,17048.0,534.0
Background,17048.0,8524.0,5625.0,17048.0,548.0,1304.0,3821.0,5228.0,247.0,12.0,1191.0,336.0,483.0,11271.0,8686.0,0.0,2252.0,5422.0,4451.0,17048.0,9161.0,17048.0,0.0,16334.0,14060.0,6632.0,16997.0,167.0,373.0,5987.0,0.0,24.0,2694.0,17048.0,17048.0,87.0,8232.0,18.0,88.0,8951.0,17048.0,665.0,17048.0,534.0
Beta catenin,5625.0,5625.0,1318.0,5625.0,130.0,450.0,1409.0,1526.0,54.0,5.0,346.0,69.0,154.0,3180.0,2486.0,0.0,644.0,1622.0,1390.0,5625.0,3734.0,5625.0,0.0,5463.0,4805.0,2052.0,5606.0,53.0,140.0,2599.0,0.0,8.0,921.0,5625.0,5625.0,49.0,3426.0,6.0,27.0,3442.0,5625.0,152.0,5625.0,133.0
Ca,17048.0,17048.0,5625.0,8524.0,548.0,1304.0,3821.0,5228.0,247.0,12.0,1191.0,336.0,483.0,11271.0,8686.0,0.0,2252.0,5422.0,4451.0,17048.0,9161.0,17048.0,0.0,16334.0,14060.0,6632.0,16997.0,167.0,373.0,5987.0,0.0,24.0,2694.0,17048.0,17048.0,87.0,8232.0,18.0,88.0,8951.0,17048.0,665.0,17048.0,534.0
CD11b,548.0,548.0,130.0,548.0,62.0,63.0,259.0,152.0,1.0,0.0,59.0,12.0,17.0,421.0,393.0,0.0,231.0,174.0,115.0,548.0,328.0,548.0,0.0,541.0,440.0,158.0,545.0,2.0,25.0,205.0,0.0,0.0,247.0,548.0,548.0,0.0,380.0,1.0,1.0,315.0,548.0,23.0,548.0,16.0
CD11c,1304.0,1304.0,450.0,1304.0,63.0,71.0,338.0,447.0,11.0,0.0,94.0,36.0,48.0,861.0,706.0,0.0,206.0,454.0,321.0,1304.0,716.0,1304.0,0.0,1264.0,1125.0,555.0,1302.0,12.0,20.0,457.0,0.0,2.0,253.0,1304.0,1304.0,1.0,664.0,2.0,8.0,751.0,1304.0,46.0,1304.0,40.0
CD138,3821.0,3821.0,1409.0,3821.0,259.0,338.0,629.0,1115.0,36.0,0.0,306.0,72.0,143.0,2379.0,2075.0,0.0,736.0,1222.0,880.0,3821.0,2397.0,3821.0,0.0,3720.0,3211.0,1420.0,3810.0,39.0,109.0,1518.0,0.0,4.0,884.0,3821.0,3821.0,26.0,2264.0,2.0,17.0,2222.0,3821.0,106.0,3821.0,114.0
CD16,5228.0,5228.0,1526.0,5228.0,152.0,447.0,1115.0,983.0,88.0,4.0,444.0,159.0,192.0,3574.0,2817.0,0.0,640.0,2015.0,1489.0,5228.0,2575.0,5228.0,0.0,5036.0,4447.0,2445.0,5217.0,57.0,102.0,1545.0,0.0,13.0,681.0,5228.0,5228.0,26.0,2188.0,6.0,37.0,2723.0,5228.0,205.0,5228.0,221.0
CD20,247.0,247.0,54.0,247.0,1.0,11.0,36.0,88.0,2.0,0.0,20.0,5.0,9.0,184.0,135.0,0.0,21.0,85.0,79.0,247.0,96.0,247.0,0.0,227.0,193.0,94.0,245.0,1.0,4.0,57.0,0.0,0.0,26.0,247.0,247.0,1.0,79.0,0.0,2.0,90.0,247.0,14.0,247.0,6.0
CD209,12.0,12.0,5.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,4.0,12.0,8.0,12.0,0.0,12.0,9.0,3.0,12.0,0.0,0.0,8.0,0.0,0.0,2.0,12.0,12.0,0.0,8.0,0.0,0.0,8.0,12.0,0.0,12.0,0.0
CD3,1191.0,1191.0,346.0,1191.0,59.0,94.0,306.0,444.0,20.0,1.0,60.0,37.0,55.0,820.0,656.0,0.0,177.0,428.0,341.0,1191.0,618.0,1191.0,0.0,1142.0,1001.0,551.0,1190.0,14.0,24.0,360.0,0.0,6.0,182.0,1191.0,1191.0,2.0,533.0,2.0,9.0,619.0,1191.0,44.0,1191.0,38.0
CD31,336.0,336.0,69.0,336.0,12.0,36.0,72.0,159.0,5.0,0.0,37.0,9.0,19.0,238.0,195.0,0.0,38.0,155.0,89.0,336.0,159.0,336.0,0.0,320.0,294.0,189.0,336.0,7.0,6.0,79.0,0.0,2.0,43.0,336.0,336.0,0.0,114.0,0.0,6.0,170.0,336.0,13.0,336.0,16.0
CD4,483.0,483.0,154.0,483.0,17.0,48.0,143.0,192.0,9.0,0.0,55.0,19.0,10.0,327.0,272.0,0.0,47.0,183.0,147.0,483.0,249.0,483.0,0.0,459.0,417.0,256.0,482.0,5.0,9.0,142.0,0.0,3.0,54.0,483.0,483.0,1.0,208.0,1.0,4.0,271.0,483.0,18.0,483.0,18.0
CD45,11271.0,11271.0,3180.0,11271.0,421.0,861.0,2379.0,3574.0,184.0,3.0,820.0,238.0,327.0,3951.0,6033.0,0.0,1571.0,3684.0,3031.0,11271.0,5502.0,11271.0,0.0,10755.0,9192.0,4462.0,11238.0,104.0,235.0,3537.0,0.0,16.0,1759.0,11271.0,11271.0,39.0,4951.0,10.0,59.0,5574.0,11271.0,492.0,11271.0,359.0
CD45RO,8686.0,8686.0,2486.0,8686.0,393.0,706.0,2075.0,2817.0,135.0,3.0,656.0,195.0,272.0,6033.0,2371.0,0.0,1367.0,2913.0,2266.0,8686.0,4388.0,8686.0,0.0,8342.0,7138.0,3495.0,8661.0,90.0,205.0,2772.0,0.0,15.0,1526.0,8686.0,8686.0,31.0,3992.0,9.0,43.0,4430.0,8686.0,343.0,8686.0,289.0
CD56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD63,2252.0,2252.0,644.0,2252.0,231.0,206.0,736.0,640.0,21.0,0.0,177.0,38.0,47.0,1571.0,1367.0,0.0,297.0,703.0,506.0,2252.0,1299.0,2252.0,0.0,2182.0,1809.0,756.0,2238.0,17.0,75.0,839.0,0.0,1.0,671.0,2252.0,2252.0,8.0,1310.0,1.0,5.0,1249.0,2252.0,73.0,2252.0,59.0
CD68,5422.0,5422.0,1622.0,5422.0,174.0,454.0,1222.0,2015.0,85.0,2.0,428.0,155.0,183.0,3684.0,2913.0,0.0,703.0,1064.0,1495.0,5422.0,2763.0,5422.0,0.0,5230.0,4604.0,2520.0,5410.0,64.0,112.0,1629.0,0.0,8.0,753.0,5422.0,5422.0,24.0,2350.0,7.0,36.0,2887.0,5422.0,204.0,5422.0,220.0
CD8,4451.0,4451.0,1390.0,4451.0,115.0,321.0,880.0,1489.0,79.0,4.0,341.0,89.0,147.0,3031.0,2266.0,0.0,506.0,1495.0,626.0,4451.0,2258.0,4451.0,0.0,4267.0,3702.0,1861.0,4439.0,49.0,87.0,1480.0,0.0,8.0,586.0,4451.0,4451.0,20.0,1978.0,7.0,31.0,2255.0,4451.0,177.0,4451.0,146.0
dsDNA,17048.0,17048.0,5625.0,17048.0,548.0,1304.0,3821.0,5228.0,247.0,12.0,1191.0,336.0,483.0,11271.0,8686.0,0.0,2252.0,5422.0,4451.0,8524.0,9161.0,17048.0,0.0,16334.0,14060.0,6632.0,16997.0,167.0,373.0,5987.0,0.0,24.0,2694.0,17048.0,17048.0,87.0,8232.0,18.0,88.0,8951.0,17048.0,665.0,17048.0,534.0
EGFR,9161.0,9161.0,3734.0,9161.0,328.0,716.0,2397.0,2575.0,96.0,8.0,618.0,159.0,249.0,5502.0,4388.0,0.0,1299.0,2763.0,2258.0,9161.0,2891.0,9161.0,0.0,8889.0,7719.0,3375.0,9134.0,90.0,236.0,3852.0,0.0,9.0,1661.0,9161.0,9161.0,69.0,5299.0,9.0,42.0,5364.0,9161.0,260.0,9161.0,238.0
Fe,17048.0,17048.0,5625.0,17048.0,548.0,1304.0,3821.0,5228.0,247.0,12.0,1191.0,336.0,483.0,11271.0,8686.0,0.0,2252.0,5422.0,4451.0,17048.0,9161.0,8524.0,0.0,16334.0,14060.0,6632.0,16997.0,167.0,373.0,5987.0,0.0,24.0,2694.0,17048.0,17048.0,87.0,8232.0,18.0,88.0,8951.0,17048.0,665.0,17048.0,534.0
FoxP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H3K27me3,16334.0,16334.0,5463.0,16334.0,541.0,1264.0,3720.0,5036.0,227.0,12.0,1142.0,320.0,459.0,10755.0,8342.0,0.0,2182.0,5230.0,4267.0,16334.0,8889.0,16334.0,0.0,7845.0,13525.0,6388.0,16283.0,163.0,365.0,5803.0,0.0,23.0,2624.0,16334.0,16334.0,84.0,7986.0,18.0,83.0,8667.0,16334.0,628.0,16334.0,511.0
H3K9ac,14060.0,14060.0,4805.0,14060.0,440.0,1125.0,3211.0,4447.0,193.0,9.0,1001.0,294.0,417.0,9192.0,7138.0,0.0,1809.0,4604.0,3702.0,14060.0,7719.0,14060.0,0.0,13525.0,5878.0,5679.0,14019.0,139.0,304.0,4990.0,0.0,23.0,2171.0,14060.0,14060.0,79.0,6853.0,17.0,82.0,7576.0,14060.0,528.0,14060.0,467.0
HLA-DR,6632.0,6632.0,2052.0,6632.0,158.0,555.0,1420.0,2445.0,94.0,3.0,551.0,189.0,256.0,4462.0,3495.0,0.0,756.0,2520.0,1861.0,6632.0,3375.0,6632.0,0.0,6388.0,5679.0,1573.0,6620.0,78.0,117.0,2025.0,0.0,12.0,826.0,6632.0,6632.0,33.0,2855.0,7.0,50.0,3524.0,6632.0,258.0,6632.0,251.0
HLA_Class_1,16997.0,16997.0,5606.0,16997.0,545.0,1302.0,3810.0,5217.0,245.0,12.0,1190.0,336.0,482.0,11238.0,8661.0,0.0,2238.0,5410.0,4439.0,16997.0,9134.0,16997.0,0.0,16283.0,14019.0,6620.0,8473.0,166.0,372.0,5968.0,0.0,24.0,2681.0,16997.0,16997.0,86.0,8202.0,18.0,88.0,8919.0,16997.0,662.0,16997.0,534.0
IDO,167.0,167.0,53.0,167.0,2.0,12.0,39.0,57.0,1.0,0.0,14.0,7.0,5.0,104.0,90.0,0.0,17.0,64.0,49.0,167.0,90.0,167.0,0.0,163.0,139.0,78.0,166.0,1.0,3.0,61.0,0.0,0.0,18.0,167.0,167.0,0.0,76.0,0.0,0.0,85.0,167.0,9.0,167.0,7.0
Keratin17,373.0,373.0,140.0,373.0,25.0,20.0,109.0,102.0,4.0,0.0,24.0,6.0,9.0,235.0,205.0,0.0,75.0,112.0,87.0,373.0,236.0,373.0,0.0,365.0,304.0,117.0,372.0,3.0,12.0,153.0,0.0,0.0,92.0,373.0,373.0,1.0,224.0,0.0,5.0,222.0,373.0,15.0,373.0,12.0
Keratin6,5987.0,5987.0,2599.0,5987.0,205.0,457.0,1518.0,1545.0,57.0,8.0,360.0,79.0,142.0,3537.0,2772.0,0.0,839.0,1629.0,1480.0,5987.0,3852.0,5987.0,0.0,5803.0,4990.0,2025.0,5968.0,61.0,153.0,1366.0,0.0,8.0,1124.0,5987.0,5987.0,47.0,3609.0,6.0,19.0,3538.0,5987.0,172.0,5987.0,134.0
Ki67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lag3,24.0,24.0,8.0,24.0,0.0,2.0,4.0,13.0,0.0,0.0,6.0,2.0,3.0,16.0,15.0,0.0,1.0,8.0,8.0,24.0,9.0,24.0,0.0,23.0,23.0,12.0,24.0,0.0,0.0,8.0,0.0,0.0,1.0,24.0,24.0,0.0,8.0,0.0,0.0,15.0,24.0,1.0,24.0,2.0
MPO,2694.0,2694.0,921.0,2694.0,247.0,253.0,884.0,681.0,26.0,2.0,182.0,43.0,54.0,1759.0,1526.0,0.0,671.0,753.0,586.0,2694.0,1661.0,2694.0,0.0,2624.0,2171.0,826.0,2681.0,18.0,92.0,1124.0,0.0,1.0,412.0,2694.0,2694.0,11.0,1679.0,1.0,4.0,1512.0,2694.0,86.0,2694.0,50.0
