,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,18909.0,37818.0,31661.0,37818.0,1177.0,17860.0,9856.0,12131.0,12154.0,1789.0,16387.0,2528.0,11773.0,28861.0,20579.0,170.0,11311.0,16151.0,11556.0,37818.0,1718.0,37818.0,144.0,37818.0,37575.0,26602.0,37635.0,603.0,234.0,13686.0,1080.0,87.0,397.0,37818.0,37818.0,85.0,15369.0,1687.0,1038.0,37353.0,37818.0,21061.0,37807.0,27657.0
Background,37818.0,18909.0,31661.0,37818.0,1177.0,17860.0,9856.0,12131.0,12154.0,1789.0,16387.0,2528.0,11773.0,28861.0,20579.0,170.0,11311.0,16151.0,11556.0,37818.0,1718.0,37818.0,144.0,37818.0,37575.0,26602.0,37635.0,603.0,234.0,13686.0,1080.0,87.0,397.0,37818.0,37818.0,85.0,15369.0,1687.0,1038.0,37353.0,37818.0,21061.0,37807.0,27657.0
Beta catenin,31661.0,31661.0,13508.0,31661.0,1026.0,15082.0,8553.0,10372.0,9900.0,1606.0,13450.0,2165.0,9737.0,24051.0,17011.0,145.0,9869.0,13481.0,9473.0,31661.0,1558.0,31661.0,120.0,31661.0,31454.0,22108.0,31524.0,480.0,209.0,11872.0,942.0,67.0,339.0,31661.0,31661.0,77.0,13288.0,1472.0,841.0,31286.0,31661.0,18024.0,31651.0,23141.0
Ca,37818.0,37818.0,31661.0,18909.0,1177.0,17860.0,9856.0,12131.0,12154.0,1789.0,16387.0,2528.0,11773.0,28861.0,20579.0,170.0,11311.0,16151.0,11556.0,37818.0,1718.0,37818.0,144.0,37818.0,37575.0,26602.0,37635.0,603.0,234.0,13686.0,1080.0,87.0,397.0,37818.0,37818.0,85.0,15369.0,1687.0,1038.0,37353.0,37818.0,21061.0,37807.0,27657.0
CD11b,1177.0,1177.0,1026.0,1177.0,44.0,622.0,362.0,457.0,404.0,112.0,521.0,98.0,407.0,915.0,663.0,9.0,444.0,497.0,382.0,1177.0,89.0,1177.0,4.0,1177.0,1163.0,843.0,1177.0,21.0,8.0,508.0,47.0,6.0,15.0,1177.0,1177.0,2.0,539.0,65.0,39.0,1165.0,1177.0,689.0,1177.0,879.0
CD11c,17860.0,17860.0,15082.0,17860.0,622.0,4615.0,4575.0,6223.0,6133.0,950.0,8182.0,1313.0,6124.0,13989.0,10294.0,97.0,5630.0,8072.0,5778.0,17860.0,924.0,17860.0,71.0,17860.0,17751.0,13024.0,17799.0,309.0,97.0,6508.0,554.0,59.0,178.0,17860.0,17860.0,39.0,7157.0,906.0,578.0,17681.0,17860.0,10153.0,17858.0,13514.0
CD138,9856.0,9856.0,8553.0,9856.0,362.0,4575.0,1483.0,3221.0,2962.0,547.0,3995.0,670.0,2955.0,7274.0,5127.0,42.0,3169.0,3963.0,2826.0,9856.0,490.0,9856.0,36.0,9856.0,9789.0,6620.0,9817.0,153.0,86.0,4046.0,296.0,19.0,122.0,9856.0,9856.0,30.0,4481.0,474.0,268.0,9746.0,9856.0,5552.0,9854.0,7034.0
CD16,12131.0,12131.0,10372.0,12131.0,457.0,6223.0,3221.0,2176.0,3974.0,712.0,5409.0,944.0,4058.0,9473.0,6863.0,68.0,3915.0,5459.0,3820.0,12131.0,651.0,12131.0,45.0,12131.0,12056.0,8808.0,12091.0,194.0,62.0,4534.0,367.0,46.0,140.0,12131.0,12131.0,30.0,4951.0,633.0,342.0,12004.0,12131.0,7067.0,12128.0,9183.0
CD20,12154.0,12154.0,9900.0,12154.0,404.0,6133.0,2962.0,3974.0,2303.0,577.0,5760.0,790.0,4288.0,9564.0,7131.0,68.0,3608.0,5458.0,4172.0,12154.0,533.0,12154.0,45.0,12154.0,12089.0,8924.0,12108.0,234.0,56.0,4174.0,373.0,41.0,118.0,12154.0,12154.0,26.0,4610.0,584.0,454.0,12037.0,12154.0,6601.0,12152.0,9173.0
CD209,1789.0,1789.0,1606.0,1789.0,112.0,950.0,547.0,712.0,577.0,135.0,729.0,197.0,538.0,1403.0,983.0,13.0,763.0,785.0,521.0,1789.0,148.0,1789.0,7.0,1789.0,1776.0,1270.0,1789.0,19.0,10.0,814.0,41.0,12.0,20.0,1789.0,1789.0,9.0,878.0,86.0,51.0,1771.0,1789.0,1157.0,1789.0,1416.0
