,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,18149.0,36294.0,23021.0,36298.0,5839.0,20541.0,6531.0,3056.0,26298.0,5138.0,20030.0,2520.0,18589.0,30081.0,31333.0,1904.0,6374.0,11218.0,12706.0,36298.0,5311.0,36298.0,180.0,36280.0,36244.0,28774.0,36263.0,1726.0,1398.0,12108.0,1268.0,141.0,1375.0,36298.0,36298.0,3502.0,8633.0,2007.0,6812.0,36177.0,36298.0,9860.0,36298.0,27659.0
Background,36294.0,18145.0,23020.0,36294.0,5839.0,20537.0,6531.0,3056.0,26294.0,5137.0,20028.0,2519.0,18587.0,30077.0,31329.0,1904.0,6374.0,11215.0,12705.0,36294.0,5311.0,36294.0,180.0,36276.0,36240.0,28770.0,36259.0,1726.0,1398.0,12108.0,1267.0,141.0,1375.0,36294.0,36294.0,3502.0,8632.0,2007.0,6812.0,36173.0,36294.0,9858.0,36294.0,27655.0
Beta catenin,23021.0,23020.0,8128.0,23021.0,3488.0,11734.0,5768.0,2384.0,14227.0,2959.0,11250.0,1665.0,10618.0,17523.0,18966.0,1249.0,5213.0,6965.0,7167.0,23021.0,4613.0,23021.0,149.0,23006.0,22975.0,16353.0,22996.0,1124.0,1220.0,9815.0,1022.0,86.0,768.0,23021.0,23021.0,3086.0,7535.0,1495.0,3710.0,22940.0,23021.0,6553.0,23021.0,16233.0
Ca,36298.0,36294.0,23021.0,18149.0,5839.0,20541.0,6531.0,3056.0,26298.0,5138.0,20030.0,2520.0,18589.0,30081.0,31333.0,1904.0,6374.0,11218.0,12706.0,36298.0,5311.0,36298.0,180.0,36280.0,36244.0,28774.0,36263.0,1726.0,1398.0,12108.0,1268.0,141.0,1375.0,36298.0,36298.0,3502.0,8633.0,2007.0,6812.0,36177.0,36298.0,9860.0,36298.0,27659.0
CD11b,5839.0,5839.0,3488.0,5839.0,768.0,4188.0,355.0,398.0,5375.0,984.0,4121.0,500.0,3856.0,5582.0,5551.0,383.0,683.0,2149.0,2651.0,5839.0,330.0,5839.0,32.0,5839.0,5838.0,5528.0,5839.0,451.0,118.0,1409.0,139.0,23.0,283.0,5839.0,5839.0,188.0,550.0,345.0,1420.0,5829.0,5839.0,1806.0,5839.0,4984.0
CD11c,20541.0,20537.0,11734.0,20541.0,4188.0,7183.0,1565.0,1313.0,18436.0,3578.0,14047.0,1619.0,13255.0,19382.0,19328.0,1311.0,2394.0,7429.0,9139.0,20541.0,1358.0,20541.0,107.0,20541.0,20534.0,19142.0,20538.0,1293.0,411.0,4913.0,457.0,92.0,989.0,20541.0,20541.0,775.0,2321.0,1094.0,4593.0,20503.0,20541.0,6027.0,20541.0,17765.0
CD138,6531.0,6531.0,5768.0,6531.0,355.0,1565.0,1730.0,1057.0,1356.0,481.0,1331.0,391.0,1341.0,3217.0,4362.0,226.0,2578.0,1457.0,839.0,6531.0,2707.0,6531.0,54.0,6516.0,6503.0,2468.0,6523.0,174.0,701.0,4649.0,500.0,14.0,96.0,6531.0,6531.0,1858.0,4333.0,536.0,387.0,6504.0,6531.0,1638.0,6531.0,3045.0
CD16,3056.0,3056.0,2384.0,3056.0,398.0,1313.0,1057.0,247.0,1429.0,337.0,1240.0,218.0,1174.0,2077.0,2366.0,194.0,902.0,899.0,787.0,3056.0,846.0,3056.0,26.0,3054.0,3049.0,1855.0,3052.0,147.0,225.0,1709.0,187.0,12.0,72.0,3056.0,3056.0,573.0,1391.0,251.0,395.0,3043.0,3056.0,892.0,3056.0,1926.0
CD20,26298.0,26294.0,14227.0,26298.0,5375.0,18436.0,1356.0,1429.0,12314.0,4454.0,18236.0,1938.0,16851.0,25426.0,24963.0,1582.0,2522.0,9111.0,11658.0,26298.0,1270.0,26298.0,109.0,26298.0,26293.0,25236.0,26298.0,1492.0,364.0,5187.0,492.0,112.0,1215.0,26298.0,26298.0,653.0,2089.0,1259.0,6272.0,26247.0,26298.0,7278.0,26298.0,22967.0
CD209,5138.0,5137.0,2959.0,5138.0,984.0,3578.0,481.0,337.0,4454.0,615.0,3620.0,444.0,3444.0,4730.0,4753.0,337.0,610.0,1941.0,2304.0,5138.0,398.0,5138.0,21.0,5138.0,5137.0,4644.0,5138.0,283.0,102.0,1194.0,122.0,26.0,332.0,5138.0,5138.0,272.0,639.0,272.0,944.0,5129.0,5138.0,1659.0,5138.0,4472.0
