,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,20940.0,41887.0,36941.0,41887.0,11912.0,28743.0,1608.0,26590.0,5224.0,33.0,23934.0,5931.0,26892.0,40503.0,37973.0,186.0,10371.0,30517.0,19998.0,41887.0,6816.0,41887.0,2264.0,41887.0,41880.0,41560.0,41887.0,13409.0,2714.0,31784.0,7621.0,3666.0,3655.0,41887.0,41887.0,30092.0,24550.0,18908.0,6425.0,41630.0,41887.0,2930.0,41874.0,35229.0
Background,41887.0,20947.0,36948.0,41894.0,11916.0,28749.0,1608.0,26596.0,5224.0,33.0,23939.0,5936.0,26898.0,40510.0,37979.0,186.0,10372.0,30523.0,20002.0,41894.0,6817.0,41894.0,2266.0,41894.0,41887.0,41567.0,41894.0,13413.0,2715.0,31789.0,7624.0,3668.0,3655.0,41894.0,41894.0,30095.0,24554.0,18910.0,6427.0,41637.0,41894.0,2933.0,41881.0,35235.0
Beta catenin,36941.0,36948.0,16537.0,36948.0,10751.0,25447.0,1430.0,23874.0,4331.0,31.0,20998.0,5346.0,23724.0,35730.0,33563.0,163.0,9306.0,27062.0,17600.0,36948.0,6254.0,36948.0,2003.0,36948.0,36942.0,36668.0,36948.0,12042.0,2428.0,28666.0,6853.0,3287.0,3224.0,36948.0,36948.0,26941.0,22216.0,17102.0,5728.0,36732.0,36948.0,2600.0,36935.0,31028.0
Ca,41887.0,41894.0,36948.0,20947.0,11916.0,28749.0,1608.0,26596.0,5224.0,33.0,23939.0,5936.0,26898.0,40510.0,37979.0,186.0,10372.0,30523.0,20002.0,41894.0,6817.0,41894.0,2266.0,41894.0,41887.0,41567.0,41894.0,13413.0,2715.0,31789.0,7624.0,3668.0,3655.0,41894.0,41894.0,30095.0,24554.0,18910.0,6427.0,41637.0,41894.0,2933.0,41881.0,35235.0
CD11b,11912.0,11916.0,10751.0,11916.0,2107.0,8581.0,583.0,8323.0,1304.0,9.0,7054.0,2071.0,7993.0,11550.0,11061.0,62.0,3416.0,9178.0,5982.0,11916.0,2177.0,11916.0,696.0,11916.0,11915.0,11836.0,11916.0,4423.0,769.0,9667.0,2280.0,1122.0,1135.0,11916.0,11916.0,8555.0,7243.0,6076.0,2038.0,11862.0,11916.0,905.0,11912.0,10121.0
CD11c,28743.0,28749.0,25447.0,28749.0,8581.0,9999.0,1159.0,18687.0,3599.0,25.0,16663.0,4218.0,18742.0,27818.0,26276.0,144.0,7326.0,21357.0,13971.0,28749.0,4811.0,28749.0,1584.0,28749.0,28744.0,28550.0,28749.0,9448.0,1884.0,22082.0,5256.0,2579.0,2527.0,28749.0,28749.0,20542.0,16885.0,13315.0,4561.0,28583.0,28749.0,2061.0,28742.0,24325.0
CD138,1608.0,1608.0,1430.0,1608.0,583.0,1159.0,67.0,1115.0,180.0,3.0,1003.0,341.0,1081.0,1557.0,1508.0,11.0,479.0,1272.0,834.0,1608.0,341.0,1608.0,84.0,1608.0,1608.0,1596.0,1608.0,573.0,118.0,1340.0,292.0,158.0,180.0,1608.0,1608.0,1109.0,986.0,845.0,272.0,1602.0,1608.0,172.0,1608.0,1374.0
CD16,26590.0,26596.0,23874.0,26596.0,8323.0,18687.0,1115.0,9009.0,3077.0,23.0,15251.0,4142.0,17319.0,25750.0,24382.0,140.0,6921.0,20062.0,12900.0,26596.0,4694.0,26596.0,1473.0,26596.0,26592.0,26400.0,26596.0,9034.0,1771.0,20954.0,5068.0,2423.0,2312.0,26596.0,26596.0,19343.0,16118.0,12722.0,4247.0,26450.0,26596.0,1922.0,26587.0,22452.0
CD20,5224.0,5224.0,4331.0,5224.0,1304.0,3599.0,180.0,3077.0,480.0,4.0,3138.0,646.0,3380.0,5052.0,4754.0,20.0,1152.0,3709.0,2601.0,5224.0,672.0,5224.0,276.0,5224.0,5223.0,5176.0,5224.0,1520.0,297.0,3554.0,893.0,422.0,466.0,5224.0,5224.0,3512.0,2669.0,2085.0,832.0,5190.0,5224.0,379.0,5224.0,4423.0
CD209,33.0,33.0,31.0,33.0,9.0,25.0,3.0,23.0,4.0,0.0,19.0,3.0,24.0,32.0,29.0,0.0,6.0,24.0,16.0,33.0,6.0,33.0,2.0,33.0,33.0,33.0,33.0,12.0,2.0,28.0,2.0,4.0,2.0,33.0,33.0,23.0,20.0,23.0,4.0,32.0,33.0,1.0,33.0,29.0
