,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,6110.0,12220.0,10165.0,12220.0,433.0,2269.0,3364.0,1127.0,59.0,194.0,705.0,292.0,597.0,5205.0,2087.0,15.0,2144.0,2387.0,556.0,12220.0,4746.0,12220.0,0.0,12220.0,12089.0,4472.0,11495.0,473.0,3436.0,5718.0,354.0,0.0,515.0,12220.0,12220.0,769.0,8107.0,4843.0,52.0,12063.0,12220.0,7770.0,12220.0,9230.0
Background,12220.0,6110.0,10165.0,12220.0,433.0,2269.0,3364.0,1127.0,59.0,194.0,705.0,292.0,597.0,5205.0,2087.0,15.0,2144.0,2387.0,556.0,12220.0,4746.0,12220.0,0.0,12220.0,12089.0,4472.0,11495.0,473.0,3436.0,5718.0,354.0,0.0,515.0,12220.0,12220.0,769.0,8107.0,4843.0,52.0,12063.0,12220.0,7770.0,12220.0,9230.0
Beta catenin,10165.0,10165.0,4267.0,10165.0,350.0,1855.0,2808.0,950.0,49.0,141.0,572.0,251.0,465.0,4297.0,1721.0,13.0,1789.0,1988.0,450.0,10165.0,4035.0,10165.0,0.0,10165.0,10063.0,3686.0,9584.0,419.0,2950.0,4887.0,300.0,0.0,440.0,10165.0,10165.0,670.0,6796.0,4116.0,46.0,10044.0,10165.0,6487.0,10165.0,7626.0
Ca,12220.0,12220.0,10165.0,6110.0,433.0,2269.0,3364.0,1127.0,59.0,194.0,705.0,292.0,597.0,5205.0,2087.0,15.0,2144.0,2387.0,556.0,12220.0,4746.0,12220.0,0.0,12220.0,12089.0,4472.0,11495.0,473.0,3436.0,5718.0,354.0,0.0,515.0,12220.0,12220.0,769.0,8107.0,4843.0,52.0,12063.0,12220.0,7770.0,12220.0,9230.0
CD11b,433.0,433.0,350.0,433.0,11.0,87.0,109.0,48.0,3.0,8.0,30.0,11.0,30.0,204.0,81.0,1.0,81.0,94.0,24.0,433.0,153.0,433.0,0.0,433.0,429.0,183.0,405.0,19.0,117.0,178.0,15.0,0.0,15.0,433.0,433.0,24.0,280.0,157.0,1.0,427.0,433.0,277.0,433.0,345.0
CD11c,2269.0,2269.0,1855.0,2269.0,87.0,227.0,604.0,223.0,10.0,32.0,134.0,57.0,110.0,1017.0,365.0,0.0,404.0,466.0,97.0,2269.0,846.0,2269.0,0.0,2269.0,2245.0,850.0,2116.0,84.0,622.0,1016.0,67.0,0.0,82.0,2269.0,2269.0,130.0,1454.0,871.0,7.0,2238.0,2269.0,1431.0,2269.0,1749.0
CD138,3364.0,3364.0,2808.0,3364.0,109.0,604.0,476.0,302.0,16.0,54.0,175.0,78.0,155.0,1439.0,547.0,5.0,592.0,657.0,151.0,3364.0,1296.0,3364.0,0.0,3364.0,3329.0,1205.0,3170.0,128.0,991.0,1619.0,104.0,0.0,151.0,3364.0,3364.0,208.0,2240.0,1358.0,13.0,3317.0,3364.0,2127.0,3364.0,2530.0
CD16,1127.0,1127.0,950.0,1127.0,48.0,223.0,302.0,52.0,4.0,10.0,71.0,29.0,57.0,485.0,187.0,0.0,207.0,235.0,55.0,1127.0,439.0,1127.0,0.0,1127.0,1119.0,429.0,1063.0,47.0,315.0,523.0,32.0,0.0,44.0,1127.0,1127.0,76.0,750.0,441.0,3.0,1111.0,1127.0,719.0,1127.0,861.0
CD20,59.0,59.0,49.0,59.0,3.0,10.0,16.0,4.0,0.0,1.0,5.0,0.0,2.0,24.0,14.0,0.0,5.0,11.0,4.0,59.0,22.0,59.0,0.0,59.0,57.0,21.0,53.0,1.0,17.0,27.0,3.0,0.0,0.0,59.0,59.0,3.0,35.0,20.0,0.0,59.0,59.0,39.0,59.0,47.0
CD209,194.0,194.0,141.0,194.0,8.0,32.0,54.0,10.0,1.0,7.0,18.0,15.0,18.0,93.0,41.0,0.0,35.0,44.0,13.0,194.0,46.0,194.0,0.0,194.0,191.0,81.0,178.0,3.0,36.0,57.0,5.0,0.0,3.0,194.0,194.0,6.0,120.0,47.0,0.0,186.0,194.0,131.0,194.0,163.0
CD3,705.0,705.0,572.0,705.0,30.0,134.0,175.0,71.0,5.0,18.0,32.0,23.0,43.0,331.0,128.0,0.0,107.0,155.0,37.0,705.0,259.0,705.0,0.0,705.0,695.0,261.0,663.0,20.0,172.0,310.0,17.0,0.0,23.0,705.0,705.0,44.0,461.0,250.0,0.0,696.0,705.0,442.0,705.0,532.0
CD31,292.0,292.0,251.0,292.0,11.0,57.0,78.0,29.0,0.0,15.0,23.0,8.0,27.0,134.0,59.0,0.0,55.0,71.0,14.0,292.0,97.0,292.0,0.0,292.0,289.0,112.0,276.0,7.0,74.0,112.0,7.0,0.0,9.0,292.0,292.0,15.0,196.0,89.0,0.0,285.0,292.0,203.0,292.0,236.0
CD4,597.0,597.0,465.0,597.0,30.0,110.0,155.0,57.0,2.0,18.0,43.0,27.0,26.0,290.0,103.0,0.0,102.0,128.0,30.0,597.0,198.0,597.0,0.0,597.0,594.0,229.0,551.0,21.0,143.0,242.0,10.0,0.0,14.0,597.0,597.0,35.0,391.0,199.0,0.0,585.0,597.0,381.0,597.0,465.0
CD45,5205.0,5205.0,4297.0,5205.0,204.0,1017.0,1439.0,485.0,24.0,93.0,331.0,134.0,290.0,1165.0,902.0,4.0,900.0,1050.0,246.0,5205.0,1954.0,5205.0,0.0,5205.0,5151.0,1998.0,4899.0,204.0,1414.0,2384.0,137.0,0.0,199.0,5205.0,5205.0,316.0,3470.0,2006.0,14.0,5126.0,5205.0,3315.0,5205.0,4008.0
CD45RO,2087.0,2087.0,1721.0,2087.0,81.0,365.0,547.0,187.0,14.0,41.0,128.0,59.0,103.0,902.0,177.0,2.0,356.0,405.0,98.0,2087.0,786.0,2087.0,0.0,2087.0,2065.0,765.0,1956.0,74.0,567.0,956.0,68.0,0.0,63.0,2087.0,2087.0,124.0,1393.0,805.0,7.0,2051.0,2087.0,1333.0,2087.0,1583.0
CD56,15.0,15.0,13.0,15.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,3.0,0.0,15.0,11.0,15.0,0.0,15.0,15.0,4.0,13.0,1.0,7.0,11.0,1.0,0.0,0.0,15.0,15.0,0.0,11.0,9.0,0.0,15.0,15.0,8.0,15.0,10.0
CD63,2144.0,2144.0,1789.0,2144.0,81.0,404.0,592.0,207.0,5.0,35.0,107.0,55.0,102.0,900.0,356.0,2.0,199.0,440.0,97.0,2144.0,833.0,2144.0,0.0,2144.0,2125.0,776.0,2014.0,96.0,613.0,1002.0,57.0,0.0,100.0,2144.0,2144.0,138.0,1465.0,837.0,10.0,2116.0,2144.0,1426.0,2144.0,1654.0
CD68,2387.0,2387.0,1988.0,2387.0,94.0,466.0,657.0,235.0,11.0,44.0,155.0,71.0,128.0,1050.0,405.0,3.0,440.0,258.0,114.0,2387.0,911.0,2387.0,0.0,2387.0,2360.0,919.0,2249.0,87.0,670.0,1088.0,67.0,0.0,86.0,2387.0,2387.0,137.0,1577.0,926.0,10.0,2347.0,2387.0,1533.0,2387.0,1824.0
CD8,556.0,556.0,450.0,556.0,24.0,97.0,151.0,55.0,4.0,13.0,37.0,14.0,30.0,246.0,98.0,0.0,97.0,114.0,15.0,556.0,215.0,556.0,0.0,556.0,550.0,204.0,514.0,19.0,141.0,253.0,14.0,0.0,17.0,556.0,556.0,32.0,366.0,214.0,0.0,546.0,556.0,330.0,556.0,415.0
dsDNA,12220.0,12220.0,10165.0,12220.0,433.0,2269.0,3364.0,1127.0,59.0,194.0,705.0,292.0,597.0,5205.0,2087.0,15.0,2144.0,2387.0,556.0,6110.0,4746.0,12220.0,0.0,12220.0,12089.0,4472.0,11495.0,473.0,3436.0,5718.0,354.0,0.0,515.0,12220.0,12220.0,769.0,8107.0,4843.0,52.0,12063.0,12220.0,7770.0,12220.0,9230.0
EGFR,4746.0,4746.0,4035.0,4746.0,153.0,846.0,1296.0,439.0,22.0,46.0,259.0,97.0,198.0,1954.0,786.0,11.0,833.0,911.0,215.0,4746.0,992.0,4746.0,0.0,4746.0,4693.0,1676.0,4485.0,203.0,1421.0,2379.0,157.0,0.0,213.0,4746.0,4746.0,343.0,3234.0,2023.0,29.0,4694.0,4746.0,3018.0,4746.0,3476.0
Fe,12220.0,12220.0,10165.0,12220.0,433.0,2269.0,3364.0,1127.0,59.0,194.0,705.0,292.0,597.0,5205.0,2087.0,15.0,2144.0,2387.0,556.0,12220.0,4746.0,6110.0,0.0,12220.0,12089.0,4472.0,11495.0,473.0,3436.0,5718.0,354.0,0.0,515.0,12220.0,12220.0,769.0,8107.0,4843.0,52.0,12063.0,12220.0,7770.0,12220.0,9230.0
FoxP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H3K27me3,12220.0,12220.0,10165.0,12220.0,433.0,2269.0,3364.0,1127.0,59.0,194.0,705.0,292.0,597.0,5205.0,2087.0,15.0,2144.0,2387.0,556.0,12220.0,4746.0,12220.0,0.0,6110.0,12089.0,4472.0,11495.0,473.0,3436.0,5718.0,354.0,0.0,515.0,12220.0,12220.0,769.0,8107.0,4843.0,52.0,12063.0,12220.0,7770.0,12220.0,9230.0
H3K9ac,12089.0,12089.0,10063.0,12089.0,429.0,2245.0,3329.0,1119.0,57.0,191.0,695.0,289.0,594.0,5151.0,2065.0,15.0,2125.0,2360.0,550.0,12089.0,4693.0,12089.0,0.0,12089.0,5980.0,4433.0,11374.0,469.0,3396.0,5656.0,352.0,0.0,506.0,12089.0,12089.0,761.0,8020.0,4791.0,51.0,11933.0,12089.0,7683.0,12089.0,9132.0
HLA-DR,4472.0,4472.0,3686.0,4472.0,183.0,850.0,1205.0,429.0,21.0,81.0,261.0,112.0,229.0,1998.0,765.0,4.0,776.0,919.0,204.0,4472.0,1676.0,4472.0,0.0,4472.0,4433.0,835.0,4211.0,172.0,1222.0,2039.0,121.0,0.0,169.0,4472.0,4472.0,257.0,2966.0,1724.0,16.0,4400.0,4472.0,2859.0,4472.0,3438.0
HLA_Class_1,11495.0,11495.0,9584.0,11495.0,405.0,2116.0,3170.0,1063.0,53.0,178.0,663.0,276.0,551.0,4899.0,1956.0,13.0,2014.0,2249.0,514.0,11495.0,4485.0,11495.0,0.0,11495.0,11374.0,4211.0,5408.0,451.0,3263.0,5421.0,333.0,0.0,486.0,11495.0,11495.0,737.0,7671.0,4590.0,48.0,11348.0,11495.0,7318.0,11495.0,8676.0
IDO,473.0,473.0,419.0,473.0,19.0,84.0,128.0,47.0,1.0,3.0,20.0,7.0,21.0,204.0,74.0,1.0,96.0,87.0,19.0,473.0,203.0,473.0,0.0,473.0,469.0,172.0,451.0,14.0,157.0,253.0,12.0,0.0,26.0,473.0,473.0,44.0,343.0,216.0,3.0,469.0,473.0,309.0,473.0,342.0
Keratin17,3436.0,3436.0,2950.0,3436.0,117.0,622.0,991.0,315.0,17.0,36.0,172.0,74.0,143.0,1414.0,567.0,7.0,613.0,670.0,141.0,3436.0,1421.0,3436.0,0.0,3436.0,3396.0,1222.0,3263.0,157.0,525.0,1719.0,119.0,0.0,151.0,3436.0,3436.0,255.0,2344.0,1462.0,18.0,3392.0,3436.0,2215.0,3436.0,2542.0
Keratin6,5718.0,5718.0,4887.0,5718.0,178.0,1016.0,1619.0,523.0,27.0,57.0,310.0,112.0,242.0,2384.0,956.0,11.0,1002.0,1088.0,253.0,5718.0,2379.0,5718.0,0.0,5718.0,5656.0,2039.0,5421.0,253.0,1719.0,1456.0,189.0,0.0,263.0,5718.0,5718.0,408.0,3933.0,2431.0,27.0,5656.0,5718.0,3631.0,5718.0,4212.0
Ki67,354.0,354.0,300.0,354.0,15.0,67.0,104.0,32.0,3.0,5.0,17.0,7.0,10.0,137.0,68.0,1.0,57.0,67.0,14.0,354.0,157.0,354.0,0.0,354.0,352.0,121.0,333.0,12.0,119.0,189.0,5.0,0.0,18.0,354.0,354.0,29.0,244.0,155.0,3.0,349.0,354.0,213.0,354.0,246.0
Lag3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPO,515.0,515.0,440.0,515.0,15.0,82.0,151.0,44.0,0.0,3.0,23.0,9.0,14.0,199.0,63.0,0.0,100.0,86.0,17.0,515.0,213.0,515.0,0.0,515.0,506.0,169.0,486.0,26.0,151.0,263.0,18.0,0.0,9.0,515.0,515.0,44.0,362.0,226.0,1.0,507.0,515.0,319.0,515.0,375.0
Na,12220.0,12220.0,10165.0,12220.0,433.0,2269.0,3364.0,1127.0,59.0,194.0,705.0,292.0,597.0,5205.0,2087.0,15.0,2144.0,2387.0,556.0,12220.0,4746.0,12220.0,0.0,12220.0,12089.0,4472.0,11495.0,473.0,3436.0,5718.0,354.0,0.0,515.0,6110.0,12220.0,769.0,8107.0,4843.0,52.0,12063.0,12220.0,7770.0,12220.0,9230.0
P,12220.0,12220.0,10165.0,12220.0,433.0,2269.0,3364.0,1127.0,59.0,194.0,705.0,292.0,597.0,5205.0,2087.0,15.0,2144.0,2387.0,556.0,12220.0,4746.0,12220.0,0.0,12220.0,12089.0,4472.0,11495.0,473.0,3436.0,5718.0,354.0,0.0,515.0,12220.0,6110.0,769.0,8107.0,4843.0,52.0,12063.0,12220.0,7770.0,12220.0,9230.0
p53,769.0,769.0,670.0,769.0,24.0,130.0,208.0,76.0,3.0,6.0,44.0,15.0,35.0,316.0,124.0,0.0,138.0,137.0,32.0,769.0,343.0,769.0,0.0,769.0,761.0,257.0,737.0,44.0,255.0,408.0,29.0,0.0,44.0,769.0,769.0,38.0,541.0,341.0,5.0,761.0,769.0,505.0,769.0,575.0
Pan-Keratin,8107.0,8107.0,6796.0,8107.0,280.0,1454.0,2240.0,750.0,35.0,120.0,461.0,196.0,391.0,3470.0,1393.0,11.0,1465.0,1577.0,366.0,8107.0,3234.0,8107.0,0.0,8107.0,8020.0,2966.0,7671.0,343.0,2344.0,3933.0,244.0,0.0,362.0,8107.0,8107.0,541.0,2764.0,3313.0,34.0,8000.0,8107.0,5155.0,8107.0,6060.0
PD-L1,4843.0,4843.0,4116.0,4843.0,157.0,871.0,1358.0,441.0,20.0,47.0,250.0,89.0,199.0,2006.0,805.0,9.0,837.0,926.0,214.0,4843.0,2023.0,4843.0,0.0,4843.0,4791.0,1724.0,4590.0,216.0,1462.0,2431.0,155.0,0.0,226.0,4843.0,4843.0,341.0,3313.0,1029.0,20.0,4787.0,4843.0,3089.0,4843.0,3575.0
PD1,52.0,52.0,46.0,52.0,1.0,7.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,10.0,10.0,0.0,52.0,29.0,52.0,0.0,52.0,51.0,16.0,48.0,3.0,18.0,27.0,3.0,0.0,1.0,52.0,52.0,5.0,34.0,20.0,0.0,52.0,52.0,34.0,52.0,38.0
phospho-S6,12063.0,12063.0,10044.0,12063.0,427.0,2238.0,3317.0,1111.0,59.0,186.0,696.0,285.0,585.0,5126.0,2051.0,15.0,2116.0,2347.0,546.0,12063.0,4694.0,12063.0,0.0,12063.0,11933.0,4400.0,11348.0,469.0,3392.0,5656.0,349.0,0.0,507.0,12063.0,12063.0,761.0,8000.0,4787.0,52.0,5954.0,12063.0,7666.0,12063.0,9100.0
Si,12220.0,12220.0,10165.0,12220.0,433.0,2269.0,3364.0,1127.0,59.0,194.0,705.0,292.0,597.0,5205.0,2087.0,15.0,2144.0,2387.0,556.0,12220.0,4746.0,12220.0,0.0,12220.0,12089.0,4472.0,11495.0,473.0,3436.0,5718.0,354.0,0.0,515.0,12220.0,12220.0,769.0,8107.0,4843.0,52.0,12063.0,6110.0,7770.0,12220.0,9230.0
