,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,0.0,4612.0,4373.0,4612.0,58.0,54.0,2315.0,731.0,7.0,4.0,35.0,25.0,35.0,820.0,1731.0,0.0,662.0,211.0,9.0,4612.0,2541.0,4612.0,9.0,4612.0,4437.0,2070.0,4606.0,46.0,4366.0,4581.0,639.0,4.0,94.0,4612.0,4612.0,1756.0,4111.0,3.0,69.0,4085.0,4612.0,114.0,4612.0,1162.0
Background,4612.0,0.0,4373.0,4612.0,58.0,54.0,2315.0,731.0,7.0,4.0,35.0,25.0,35.0,820.0,1731.0,0.0,662.0,211.0,9.0,4612.0,2541.0,4612.0,9.0,4612.0,4437.0,2070.0,4606.0,46.0,4366.0,4581.0,639.0,4.0,94.0,4612.0,4612.0,1756.0,4111.0,3.0,69.0,4085.0,4612.0,114.0,4612.0,1162.0
Beta catenin,4373.0,4373.0,0.0,4373.0,54.0,43.0,2178.0,699.0,7.0,4.0,32.0,23.0,31.0,754.0,1697.0,0.0,657.0,186.0,9.0,4373.0,2537.0,4373.0,9.0,4373.0,4214.0,2021.0,4373.0,46.0,4290.0,4370.0,635.0,4.0,84.0,4373.0,4373.0,1742.0,4064.0,3.0,67.0,3984.0,4373.0,71.0,4373.0,1016.0
Ca,4612.0,4612.0,4373.0,0.0,58.0,54.0,2315.0,731.0,7.0,4.0,35.0,25.0,35.0,820.0,1731.0,0.0,662.0,211.0,9.0,4612.0,2541.0,4612.0,9.0,4612.0,4437.0,2070.0,4606.0,46.0,4366.0,4581.0,639.0,4.0,94.0,4612.0,4612.0,1756.0,4111.0,3.0,69.0,4085.0,4612.0,114.0,4612.0,1162.0
CD11b,58.0,58.0,54.0,58.0,0.0,5.0,32.0,7.0,1.0,1.0,1.0,5.0,1.0,53.0,52.0,0.0,47.0,6.0,1.0,58.0,10.0,58.0,1.0,58.0,43.0,44.0,58.0,4.0,54.0,58.0,1.0,1.0,49.0,58.0,58.0,7.0,48.0,1.0,1.0,46.0,58.0,3.0,58.0,21.0
CD11c,54.0,54.0,43.0,54.0,5.0,0.0,39.0,42.0,1.0,3.0,5.0,2.0,6.0,53.0,33.0,0.0,17.0,39.0,1.0,54.0,14.0,54.0,1.0,54.0,52.0,46.0,54.0,4.0,38.0,51.0,3.0,3.0,4.0,54.0,54.0,6.0,31.0,1.0,3.0,40.0,54.0,2.0,54.0,39.0
CD138,2315.0,2315.0,2178.0,2315.0,32.0,39.0,0.0,475.0,3.0,4.0,29.0,13.0,27.0,499.0,1076.0,0.0,499.0,137.0,6.0,2315.0,1517.0,2315.0,8.0,2315.0,2267.0,1115.0,2310.0,25.0,2131.0,2297.0,356.0,4.0,42.0,2315.0,2315.0,1051.0,2054.0,1.0,51.0,2085.0,2315.0,85.0,2315.0,752.0
CD16,731.0,731.0,699.0,731.0,7.0,42.0,475.0,0.0,5.0,4.0,15.0,2.0,14.0,283.0,532.0,0.0,197.0,111.0,3.0,731.0,487.0,731.0,3.0,731.0,723.0,407.0,731.0,30.0,689.0,725.0,189.0,4.0,4.0,731.0,731.0,515.0,669.0,2.0,24.0,693.0,731.0,17.0,731.0,239.0
CD20,7.0,7.0,7.0,7.0,1.0,1.0,3.0,5.0,0.0,2.0,1.0,1.0,1.0,1.0,7.0,0.0,4.0,2.0,1.0,7.0,4.0,7.0,1.0,7.0,7.0,3.0,7.0,3.0,7.0,7.0,3.0,1.0,1.0,7.0,7.0,7.0,7.0,1.0,2.0,7.0,7.0,1.0,7.0,2.0
CD209,4.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,2.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,3.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,1.0,4.0,4.0,3.0,4.0,1.0,2.0,4.0,4.0,1.0,4.0,2.0
