,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,0.0,4399.0,4182.0,4399.0,4.0,200.0,2753.0,206.0,12.0,1.0,7.0,42.0,30.0,406.0,155.0,515.0,201.0,381.0,6.0,4399.0,6.0,4399.0,0.0,4399.0,4302.0,938.0,4386.0,4.0,116.0,2155.0,91.0,0.0,8.0,4399.0,4399.0,1289.0,626.0,4.0,5.0,3537.0,4399.0,420.0,4399.0,2568.0
Background,4399.0,0.0,4182.0,4399.0,4.0,200.0,2753.0,206.0,12.0,1.0,7.0,42.0,30.0,406.0,155.0,515.0,201.0,381.0,6.0,4399.0,6.0,4399.0,0.0,4399.0,4302.0,938.0,4386.0,4.0,116.0,2155.0,91.0,0.0,8.0,4399.0,4399.0,1289.0,626.0,4.0,5.0,3537.0,4399.0,420.0,4399.0,2568.0
Beta catenin,4182.0,4182.0,0.0,4182.0,2.0,144.0,2661.0,147.0,5.0,1.0,5.0,40.0,27.0,317.0,102.0,511.0,164.0,269.0,4.0,4182.0,6.0,4182.0,0.0,4182.0,4111.0,823.0,4177.0,4.0,116.0,2145.0,89.0,0.0,4.0,4182.0,4182.0,1276.0,622.0,4.0,5.0,3372.0,4182.0,337.0,4182.0,2437.0
Ca,4399.0,4399.0,4182.0,0.0,4.0,200.0,2753.0,206.0,12.0,1.0,7.0,42.0,30.0,406.0,155.0,515.0,201.0,381.0,6.0,4399.0,6.0,4399.0,0.0,4399.0,4302.0,938.0,4386.0,4.0,116.0,2155.0,91.0,0.0,8.0,4399.0,4399.0,1289.0,626.0,4.0,5.0,3537.0,4399.0,420.0,4399.0,2568.0
CD11b,4.0,4.0,2.0,4.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,0.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,3.0
CD11c,200.0,200.0,144.0,200.0,2.0,0.0,104.0,114.0,5.0,1.0,4.0,3.0,18.0,160.0,87.0,22.0,61.0,157.0,1.0,200.0,1.0,200.0,0.0,200.0,192.0,143.0,200.0,1.0,7.0,33.0,3.0,0.0,4.0,200.0,200.0,11.0,14.0,1.0,1.0,177.0,200.0,71.0,200.0,170.0
CD138,2753.0,2753.0,2661.0,2753.0,4.0,104.0,0.0,97.0,4.0,1.0,1.0,3.0,17.0,202.0,73.0,456.0,164.0,204.0,3.0,2753.0,5.0,2753.0,0.0,2753.0,2700.0,702.0,2744.0,2.0,62.0,1490.0,67.0,0.0,3.0,2753.0,2753.0,885.0,421.0,4.0,2.0,2193.0,2753.0,137.0,2753.0,1679.0
CD16,206.0,206.0,147.0,206.0,1.0,114.0,97.0,0.0,4.0,1.0,5.0,5.0,10.0,161.0,92.0,14.0,54.0,159.0,2.0,206.0,1.0,206.0,0.0,206.0,199.0,136.0,206.0,4.0,4.0,37.0,6.0,0.0,6.0,206.0,206.0,28.0,12.0,1.0,2.0,182.0,206.0,83.0,206.0,167.0
CD20,12.0,12.0,5.0,12.0,1.0,5.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,7.0,4.0,1.0,2.0,6.0,1.0,12.0,1.0,12.0,0.0,12.0,11.0,11.0,12.0,1.0,1.0,2.0,1.0,0.0,2.0,12.0,12.0,1.0,1.0,1.0,1.0,9.0,12.0,7.0,12.0,9.0
CD209,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
