,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,0.0,3315.0,168.0,3315.0,20.0,163.0,2174.0,40.0,7.0,3.0,6.0,70.0,2.0,108.0,2441.0,0.0,3264.0,294.0,4.0,3315.0,2.0,3315.0,2.0,3314.0,3304.0,476.0,2677.0,0.0,48.0,1803.0,15.0,0.0,4.0,3315.0,3315.0,46.0,3045.0,2.0,9.0,3136.0,3315.0,109.0,3315.0,71.0
Background,3315.0,0.0,168.0,3315.0,20.0,163.0,2174.0,40.0,7.0,3.0,6.0,70.0,2.0,108.0,2441.0,0.0,3264.0,294.0,4.0,3315.0,2.0,3315.0,2.0,3314.0,3304.0,476.0,2677.0,0.0,48.0,1803.0,15.0,0.0,4.0,3315.0,3315.0,46.0,3045.0,2.0,9.0,3136.0,3315.0,109.0,3315.0,71.0
Beta catenin,168.0,168.0,0.0,168.0,5.0,6.0,123.0,11.0,1.0,1.0,4.0,57.0,2.0,16.0,78.0,0.0,136.0,30.0,1.0,168.0,1.0,168.0,1.0,168.0,168.0,52.0,168.0,0.0,4.0,47.0,3.0,0.0,2.0,168.0,168.0,1.0,98.0,1.0,1.0,156.0,168.0,49.0,168.0,42.0
Ca,3315.0,3315.0,168.0,0.0,20.0,163.0,2174.0,40.0,7.0,3.0,6.0,70.0,2.0,108.0,2441.0,0.0,3264.0,294.0,4.0,3315.0,2.0,3315.0,2.0,3314.0,3304.0,476.0,2677.0,0.0,48.0,1803.0,15.0,0.0,4.0,3315.0,3315.0,46.0,3045.0,2.0,9.0,3136.0,3315.0,109.0,3315.0,71.0
CD11b,20.0,20.0,5.0,20.0,0.0,3.0,15.0,9.0,1.0,1.0,1.0,5.0,1.0,9.0,15.0,0.0,20.0,18.0,3.0,20.0,1.0,20.0,1.0,20.0,18.0,19.0,20.0,0.0,1.0,6.0,3.0,0.0,3.0,20.0,20.0,1.0,10.0,1.0,1.0,20.0,20.0,2.0,20.0,3.0
CD11c,163.0,163.0,6.0,163.0,3.0,0.0,125.0,4.0,2.0,1.0,1.0,3.0,1.0,10.0,136.0,0.0,163.0,9.0,1.0,163.0,1.0,163.0,1.0,163.0,163.0,20.0,135.0,0.0,5.0,106.0,4.0,0.0,1.0,163.0,163.0,3.0,154.0,1.0,1.0,159.0,163.0,7.0,163.0,3.0
CD138,2174.0,2174.0,123.0,2174.0,15.0,125.0,0.0,26.0,7.0,3.0,6.0,44.0,2.0,78.0,1742.0,0.0,2165.0,187.0,3.0,2174.0,2.0,2174.0,2.0,2174.0,2170.0,316.0,1843.0,0.0,40.0,1277.0,11.0,0.0,3.0,2174.0,2174.0,37.0,2053.0,2.0,8.0,2092.0,2174.0,73.0,2174.0,37.0
CD16,40.0,40.0,11.0,40.0,9.0,4.0,26.0,0.0,1.0,1.0,2.0,10.0,1.0,19.0,24.0,0.0,37.0,17.0,3.0,40.0,1.0,40.0,1.0,40.0,39.0,26.0,40.0,0.0,1.0,18.0,3.0,0.0,3.0,40.0,40.0,1.0,27.0,1.0,1.0,39.0,40.0,5.0,40.0,6.0
CD20,7.0,7.0,1.0,7.0,1.0,2.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,7.0,2.0,1.0,7.0,1.0,7.0,1.0,7.0,7.0,2.0,7.0,0.0,6.0,7.0,1.0,0.0,1.0,7.0,7.0,1.0,7.0,1.0,1.0,7.0,7.0,1.0,7.0,1.0
CD209,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0
