,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,0.0,4531.0,2780.0,4531.0,16.0,2230.0,152.0,2191.0,608.0,4.0,1824.0,257.0,878.0,3868.0,2918.0,35.0,279.0,1480.0,1011.0,4531.0,2.0,4531.0,0.0,4502.0,3965.0,3112.0,4530.0,165.0,1059.0,809.0,11.0,30.0,277.0,4531.0,4530.0,4.0,1242.0,104.0,29.0,2448.0,4531.0,2503.0,4531.0,3658.0
Background,4531.0,0.0,2780.0,4531.0,16.0,2230.0,152.0,2191.0,608.0,4.0,1824.0,257.0,878.0,3868.0,2918.0,35.0,279.0,1480.0,1011.0,4531.0,2.0,4531.0,0.0,4502.0,3965.0,3112.0,4530.0,165.0,1059.0,809.0,11.0,30.0,277.0,4531.0,4530.0,4.0,1242.0,104.0,29.0,2448.0,4531.0,2503.0,4531.0,3658.0
Beta catenin,2780.0,2780.0,0.0,2780.0,8.0,1225.0,101.0,1183.0,245.0,2.0,885.0,131.0,384.0,2146.0,1528.0,15.0,162.0,813.0,493.0,2780.0,2.0,2780.0,0.0,2771.0,2418.0,1677.0,2780.0,94.0,1036.0,799.0,9.0,17.0,171.0,2780.0,2780.0,4.0,1195.0,73.0,21.0,1722.0,2780.0,2127.0,2780.0,2164.0
Ca,4531.0,4531.0,2780.0,0.0,16.0,2230.0,152.0,2191.0,608.0,4.0,1824.0,257.0,878.0,3868.0,2918.0,35.0,279.0,1480.0,1011.0,4531.0,2.0,4531.0,0.0,4502.0,3965.0,3112.0,4530.0,165.0,1059.0,809.0,11.0,30.0,277.0,4531.0,4530.0,4.0,1242.0,104.0,29.0,2448.0,4531.0,2503.0,4531.0,3658.0
CD11b,16.0,16.0,8.0,16.0,0.0,16.0,2.0,15.0,1.0,1.0,12.0,2.0,15.0,16.0,16.0,1.0,5.0,12.0,9.0,16.0,1.0,16.0,0.0,16.0,16.0,16.0,16.0,9.0,2.0,2.0,1.0,2.0,2.0,16.0,16.0,1.0,3.0,8.0,2.0,11.0,16.0,6.0,16.0,16.0
CD11c,2230.0,2230.0,1225.0,2230.0,16.0,0.0,80.0,1752.0,383.0,1.0,1103.0,152.0,615.0,2219.0,1899.0,26.0,190.0,1183.0,616.0,2230.0,1.0,2230.0,0.0,2220.0,2077.0,2069.0,2230.0,144.0,224.0,144.0,6.0,17.0,210.0,2230.0,2230.0,2.0,327.0,78.0,16.0,1194.0,2230.0,992.0,2230.0,2012.0
CD138,152.0,152.0,101.0,152.0,2.0,80.0,0.0,92.0,10.0,1.0,84.0,14.0,40.0,144.0,111.0,2.0,13.0,48.0,36.0,152.0,1.0,152.0,0.0,152.0,135.0,121.0,152.0,9.0,18.0,12.0,1.0,5.0,9.0,152.0,152.0,1.0,27.0,7.0,4.0,85.0,152.0,92.0,152.0,127.0
CD16,2191.0,2191.0,1183.0,2191.0,15.0,1752.0,92.0,0.0,303.0,4.0,1074.0,164.0,584.0,2172.0,1862.0,23.0,183.0,1162.0,580.0,2191.0,2.0,2191.0,0.0,2175.0,2033.0,2044.0,2191.0,123.0,172.0,123.0,7.0,17.0,202.0,2191.0,2191.0,2.0,258.0,83.0,16.0,1174.0,2191.0,986.0,2191.0,1976.0
CD20,608.0,608.0,245.0,608.0,1.0,383.0,10.0,303.0,0.0,1.0,381.0,46.0,237.0,606.0,534.0,9.0,48.0,242.0,257.0,608.0,1.0,608.0,0.0,608.0,575.0,585.0,608.0,38.0,14.0,10.0,2.0,2.0,25.0,608.0,608.0,3.0,23.0,19.0,5.0,286.0,608.0,179.0,608.0,556.0
CD209,4.0,4.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,0.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,4.0
CD3,1824.0,1824.0,885.0,1824.0,12.0,1103.0,84.0,1074.0,381.0,3.0,0.0,99.0,790.0,1823.0,1760.0,28.0,122.0,675.0,793.0,1824.0,1.0,1824.0,0.0,1818.0,1733.0,1519.0,1824.0,99.0,123.0,78.0,8.0,29.0,118.0,1824.0,1824.0,3.0,178.0,53.0,29.0,882.0,1824.0,715.0,1824.0,1637.0
CD31,257.0,257.0,131.0,257.0,2.0,152.0,14.0,164.0,46.0,1.0,99.0,0.0,56.0,247.0,176.0,3.0,35.0,122.0,52.0,257.0,1.0,257.0,0.0,257.0,245.0,203.0,257.0,5.0,9.0,6.0,1.0,1.0,15.0,257.0,257.0,1.0,11.0,9.0,1.0,136.0,257.0,112.0,257.0,220.0
