,Au,Background,Beta catenin,Ca,CD11b,CD11c,CD138,CD16,CD20,CD209,CD3,CD31,CD4,CD45,CD45RO,CD56,CD63,CD68,CD8,dsDNA,EGFR,Fe,FoxP3,H3K27me3,H3K9ac,HLA-DR,HLA_Class_1,IDO,Keratin17,Keratin6,Ki67,Lag3,MPO,Na,P,p53,Pan-Keratin,PD-L1,PD1,phospho-S6,Si,SMA,Ta,Vimentin
Au,0.0,5100.0,4712.0,5102.0,128.0,1006.0,55.0,2339.0,184.0,1.0,1639.0,50.0,167.0,4219.0,2305.0,0.0,355.0,1010.0,1797.0,5102.0,3154.0,5102.0,3.0,5099.0,5009.0,2090.0,5102.0,1443.0,172.0,4080.0,219.0,260.0,827.0,5102.0,5102.0,1718.0,2013.0,2401.0,221.0,4144.0,5102.0,41.0,5101.0,1953.0
Background,5100.0,0.0,4711.0,5100.0,128.0,1005.0,55.0,2338.0,184.0,1.0,1639.0,50.0,167.0,4217.0,2305.0,0.0,355.0,1010.0,1797.0,5100.0,3154.0,5100.0,3.0,5097.0,5007.0,2090.0,5100.0,1443.0,172.0,4078.0,219.0,260.0,827.0,5100.0,5100.0,1718.0,2013.0,2401.0,221.0,4143.0,5100.0,41.0,5099.0,1953.0
Beta catenin,4712.0,4711.0,0.0,4712.0,39.0,804.0,55.0,2066.0,177.0,1.0,1559.0,40.0,160.0,3832.0,1964.0,0.0,260.0,696.0,1730.0,4712.0,3140.0,4712.0,3.0,4712.0,4662.0,1883.0,4712.0,1427.0,172.0,3997.0,218.0,242.0,525.0,4712.0,4712.0,1712.0,1995.0,2347.0,216.0,3891.0,4712.0,39.0,4711.0,1806.0
Ca,5102.0,5100.0,4712.0,0.0,128.0,1006.0,55.0,2339.0,184.0,1.0,1639.0,50.0,167.0,4219.0,2305.0,0.0,355.0,1010.0,1797.0,5102.0,3154.0,5102.0,3.0,5099.0,5009.0,2090.0,5102.0,1443.0,172.0,4080.0,219.0,260.0,827.0,5102.0,5102.0,1718.0,2013.0,2401.0,221.0,4144.0,5102.0,41.0,5101.0,1953.0
CD11b,128.0,128.0,39.0,128.0,0.0,86.0,2.0,89.0,3.0,1.0,26.0,5.0,6.0,128.0,119.0,0.0,40.0,105.0,19.0,128.0,26.0,128.0,1.0,128.0,119.0,99.0,128.0,14.0,4.0,65.0,5.0,8.0,111.0,128.0,128.0,10.0,14.0,39.0,3.0,85.0,128.0,4.0,128.0,45.0
CD11c,1006.0,1005.0,804.0,1006.0,86.0,0.0,10.0,830.0,29.0,1.0,287.0,18.0,55.0,1005.0,812.0,0.0,154.0,507.0,315.0,1006.0,563.0,1006.0,1.0,1006.0,982.0,695.0,1006.0,242.0,22.0,660.0,37.0,55.0,407.0,1006.0,1006.0,198.0,256.0,514.0,41.0,780.0,1006.0,17.0,1006.0,537.0
CD138,55.0,55.0,55.0,55.0,2.0,10.0,0.0,24.0,2.0,1.0,14.0,2.0,7.0,46.0,24.0,0.0,9.0,9.0,13.0,55.0,44.0,55.0,1.0,55.0,53.0,24.0,55.0,20.0,2.0,46.0,2.0,4.0,9.0,55.0,55.0,14.0,33.0,32.0,2.0,46.0,55.0,4.0,55.0,22.0
CD16,2339.0,2338.0,2066.0,2339.0,89.0,830.0,24.0,0.0,88.0,1.0,703.0,26.0,93.0,2223.0,1386.0,0.0,246.0,794.0,804.0,2339.0,1383.0,2339.0,2.0,2338.0,2292.0,1181.0,2339.0,650.0,83.0,1770.0,118.0,117.0,556.0,2339.0,2339.0,699.0,829.0,1154.0,101.0,1904.0,2339.0,12.0,2339.0,1095.0
CD20,184.0,184.0,177.0,184.0,3.0,29.0,2.0,88.0,0.0,1.0,73.0,6.0,8.0,181.0,90.0,0.0,12.0,26.0,81.0,184.0,120.0,184.0,1.0,184.0,182.0,145.0,184.0,70.0,4.0,140.0,5.0,7.0,13.0,184.0,184.0,59.0,63.0,103.0,15.0,164.0,184.0,8.0,184.0,95.0
CD209,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
